,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,deposit
3678,48,management,single,tertiary,no,159,no,no,telephone,7,jul,1,251,6,success,yes
9411,31,technician,single,secondary,no,354,no,yes,cellular,22,aug,2,-1,0,unknown,no
2006,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,5,179,4,failure,yes
6500,28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,3,-1,0,unknown,no
7121,57,entrepreneur,married,unknown,no,657,no,no,unknown,12,jun,1,-1,0,unknown,no
6489,38,admin.,divorced,secondary,yes,0,no,yes,cellular,21,jul,3,-1,0,unknown,no
5657,33,blue-collar,married,primary,no,50,yes,no,cellular,7,may,2,-1,0,unknown,no
6101,28,management,single,tertiary,no,882,no,yes,cellular,8,jul,2,-1,0,unknown,no
6686,29,blue-collar,married,secondary,no,246,yes,no,cellular,28,jul,5,-1,0,unknown,no
2516,76,retired,married,primary,no,3324,no,no,cellular,13,aug,2,192,1,failure,yes
10534,51,blue-collar,married,unknown,no,0,no,no,unknown,2,jun,7,-1,0,unknown,no
614,47,unemployed,married,secondary,no,312,no,no,cellular,29,jul,1,-1,0,unknown,yes
1944,38,services,single,secondary,no,2253,yes,no,cellular,13,may,3,-1,0,unknown,yes
2968,29,admin.,single,secondary,no,265,yes,no,cellular,25,nov,1,184,1,failure,yes
1121,56,unemployed,married,secondary,no,0,no,no,telephone,2,feb,1,-1,0,unknown,yes
2794,57,management,married,tertiary,no,375,no,no,cellular,21,oct,1,-1,0,unknown,yes
1137,51,technician,married,secondary,no,100,no,no,cellular,2,feb,2,-1,0,unknown,yes
9327,34,management,single,tertiary,no,1396,yes,no,cellular,17,jul,1,-1,0,unknown,no
10690,36,self-employed,single,tertiary,no,258,no,no,cellular,5,feb,1,-1,0,unknown,no
7075,37,management,married,tertiary,no,7100,no,no,cellular,20,nov,2,-1,0,unknown,no
5620,40,admin.,married,secondary,no,-666,yes,no,unknown,27,may,2,-1,0,unknown,no
9654,30,admin.,married,secondary,no,39,yes,no,cellular,28,jul,3,-1,0,unknown,no
5017,53,blue-collar,married,primary,no,751,yes,no,cellular,3,feb,2,-1,0,unknown,yes
2055,33,admin.,single,secondary,no,1277,yes,no,cellular,18,may,1,-1,0,unknown,yes
428,25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,3,-1,0,unknown,yes
6824,44,blue-collar,married,tertiary,no,1371,no,no,cellular,13,may,3,363,4,other,no
3068,22,student,single,secondary,no,254,no,no,cellular,13,jan,2,-1,0,unknown,yes
8666,36,services,married,tertiary,no,0,yes,no,cellular,8,may,1,-1,0,unknown,no
5782,56,blue-collar,married,secondary,no,1602,yes,no,unknown,6,may,1,-1,0,unknown,no
1704,34,self-employed,single,tertiary,no,5462,no,no,cellular,30,apr,1,-1,0,unknown,yes
5081,38,admin.,single,secondary,no,262,no,no,cellular,3,feb,2,180,6,failure,yes
10853,43,blue-collar,married,secondary,no,1311,yes,no,unknown,14,may,1,-1,0,unknown,no
9133,40,technician,married,tertiary,no,103,yes,no,unknown,8,may,2,-1,0,unknown,no
5142,59,self-employed,married,tertiary,no,2013,no,no,cellular,17,nov,2,-1,0,unknown,yes
4339,24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,may,1,-1,0,unknown,yes
3978,39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,3,-1,0,unknown,yes
340,57,management,married,tertiary,no,9103,no,yes,unknown,20,jun,2,-1,0,unknown,yes
4660,42,management,single,tertiary,no,11008,no,no,cellular,28,jul,6,405,1,success,yes
10430,47,management,single,tertiary,no,0,no,no,cellular,21,aug,2,-1,0,unknown,no
4316,58,management,married,tertiary,no,473,no,no,cellular,18,feb,1,262,1,success,yes
111,34,blue-collar,married,secondary,no,1207,yes,no,unknown,21,may,1,-1,0,unknown,yes
1263,29,services,married,secondary,no,1135,yes,no,cellular,17,feb,1,-1,0,unknown,yes
8971,38,blue-collar,married,primary,no,3419,yes,no,unknown,20,jun,5,-1,0,unknown,no
11060,58,housemaid,married,primary,no,435,yes,no,telephone,28,jul,6,-1,0,unknown,no
9426,47,entrepreneur,married,secondary,no,0,no,no,unknown,19,jun,2,-1,0,unknown,no
4670,58,retired,married,secondary,no,1230,no,no,cellular,20,may,1,87,1,failure,yes
8263,46,admin.,married,secondary,no,179,yes,no,cellular,29,jan,4,436,1,other,no
7377,69,services,married,unknown,no,23592,no,no,cellular,3,jul,3,-1,0,unknown,no
7317,37,unemployed,divorced,tertiary,no,1085,no,no,cellular,25,aug,4,-1,0,unknown,no
6851,28,technician,married,secondary,no,880,yes,no,unknown,26,may,1,-1,0,unknown,no
8776,34,admin.,divorced,secondary,no,0,yes,no,cellular,6,may,1,-1,0,unknown,no
3930,37,management,married,tertiary,no,6771,no,no,cellular,7,sep,1,186,1,success,yes
9332,35,admin.,single,secondary,no,368,yes,no,unknown,16,may,3,-1,0,unknown,no
5961,37,management,married,tertiary,no,620,yes,no,cellular,17,nov,3,-1,0,unknown,no
9768,30,services,single,secondary,no,1881,no,yes,unknown,26,jun,1,-1,0,unknown,no
5420,56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,2,188,4,failure,no
5370,32,self-employed,divorced,tertiary,no,3695,yes,no,cellular,15,may,1,353,3,other,no
2863,26,technician,single,secondary,no,44,no,no,cellular,30,oct,1,-1,0,unknown,yes
1845,42,unemployed,married,secondary,no,356,yes,no,cellular,7,may,3,356,2,failure,yes
6469,35,blue-collar,married,tertiary,no,5271,yes,no,cellular,14,apr,2,-1,0,unknown,no
8484,52,blue-collar,married,primary,no,36,no,no,cellular,13,aug,2,-1,0,unknown,no
10593,42,blue-collar,married,primary,no,250,yes,no,unknown,4,jun,16,-1,0,unknown,no
10223,46,admin.,single,secondary,no,1544,yes,no,unknown,29,may,1,-1,0,unknown,no
3035,64,self-employed,married,tertiary,no,661,no,no,cellular,21,dec,2,294,2,failure,yes
3423,36,management,married,tertiary,no,-115,yes,no,cellular,16,apr,4,182,2,other,yes
1028,59,retired,married,secondary,no,6888,no,no,telephone,20,nov,2,-1,0,unknown,yes
3649,68,retired,divorced,primary,no,476,no,no,telephone,28,jun,1,-1,0,unknown,yes
5608,35,blue-collar,married,secondary,no,126,yes,no,cellular,16,apr,1,-1,0,unknown,no
5289,57,retired,single,primary,no,604,no,no,cellular,19,nov,1,-1,0,unknown,no
10400,41,entrepreneur,divorced,secondary,no,1588,yes,yes,unknown,20,jun,8,-1,0,unknown,no
4579,48,management,single,tertiary,no,334,yes,no,cellular,28,sep,2,92,12,success,yes
9178,43,self-employed,single,primary,no,1337,yes,yes,cellular,20,nov,2,-1,0,unknown,no
2359,40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,1,395,2,success,yes
1623,66,retired,married,primary,no,2883,no,no,cellular,23,apr,1,-1,0,unknown,yes
45,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,2,-1,0,unknown,yes
691,47,technician,married,secondary,no,2480,no,no,cellular,6,aug,2,-1,0,unknown,yes
4070,34,technician,single,secondary,no,1279,yes,no,cellular,21,oct,3,91,10,success,yes
8134,26,blue-collar,single,secondary,no,8,yes,no,cellular,13,may,1,-1,0,unknown,no
9917,36,technician,married,secondary,no,4613,no,no,cellular,2,apr,1,134,2,failure,no
2338,49,management,single,tertiary,no,7443,no,no,telephone,19,jun,5,211,2,failure,yes
2898,42,management,married,tertiary,no,2816,no,no,cellular,10,nov,2,-1,0,unknown,yes
6422,29,admin.,single,secondary,no,-309,yes,yes,unknown,4,jun,1,-1,0,unknown,no
10011,28,services,single,secondary,no,6332,yes,no,telephone,7,may,1,343,4,failure,no
1626,58,blue-collar,married,secondary,no,3027,yes,no,cellular,24,apr,1,-1,0,unknown,yes
2177,43,management,married,tertiary,no,1059,no,yes,cellular,1,jun,2,-1,0,unknown,yes
7407,32,admin.,single,secondary,no,620,no,no,cellular,17,apr,2,343,3,failure,no
8892,58,technician,married,secondary,no,116,no,no,unknown,16,jun,3,-1,0,unknown,no
8111,36,housemaid,married,secondary,no,205,yes,no,telephone,18,nov,4,-1,0,unknown,no
7528,36,management,married,tertiary,no,-861,yes,yes,cellular,28,jul,2,-1,0,unknown,no
9658,38,services,married,secondary,no,968,yes,no,cellular,6,apr,1,-1,0,unknown,no
238,59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,2,-1,0,unknown,yes
4626,46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,1,197,1,failure,yes
5127,27,technician,single,tertiary,no,667,no,no,cellular,29,jan,2,-1,0,unknown,yes
9519,56,admin.,single,secondary,no,-273,no,no,cellular,8,jul,2,-1,0,unknown,no
263,28,blue-collar,married,secondary,no,2788,yes,no,unknown,6,jun,2,-1,0,unknown,yes
4216,45,admin.,divorced,primary,no,429,yes,no,cellular,22,apr,1,181,1,success,yes
8745,57,retired,married,secondary,no,427,no,no,cellular,29,jan,1,-1,0,unknown,no
2578,65,retired,married,secondary,no,2326,no,yes,cellular,21,aug,1,-1,0,unknown,yes
5797,56,technician,divorced,secondary,no,1480,yes,yes,cellular,5,feb,1,-1,0,unknown,no
3163,46,blue-collar,married,secondary,no,1144,yes,no,cellular,8,feb,2,129,3,other,yes
168,60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1,-1,0,unknown,yes
5037,40,services,married,secondary,no,446,yes,no,unknown,16,may,1,-1,0,unknown,yes
5567,45,blue-collar,married,secondary,no,105,yes,yes,unknown,13,may,1,-1,0,unknown,no
10737,30,admin.,divorced,secondary,no,83,yes,yes,unknown,6,may,1,-1,0,unknown,no
6783,53,blue-collar,married,secondary,no,1653,no,no,unknown,17,jun,2,-1,0,unknown,no
439,47,technician,married,secondary,no,3466,yes,no,cellular,11,jul,2,-1,0,unknown,yes
4403,27,blue-collar,single,primary,no,232,yes,no,cellular,26,oct,2,-1,0,unknown,yes
10639,31,unemployed,single,unknown,no,167,no,no,cellular,20,nov,1,-1,0,unknown,no
7355,43,admin.,married,secondary,no,388,yes,no,cellular,19,nov,2,-1,0,unknown,no
10513,50,admin.,married,secondary,no,715,no,no,cellular,28,aug,13,-1,0,unknown,no
1581,63,retired,married,unknown,no,2193,no,no,telephone,21,apr,4,-1,0,unknown,yes
2992,39,management,married,tertiary,no,481,no,no,cellular,7,dec,5,189,1,other,yes
2138,58,retired,married,secondary,no,2714,no,no,cellular,26,may,1,287,2,failure,yes
8146,38,entrepreneur,married,tertiary,no,898,yes,no,unknown,6,may,2,-1,0,unknown,no
10470,57,management,married,tertiary,no,337,no,no,cellular,5,feb,2,-1,0,unknown,no
2141,25,student,single,tertiary,no,326,no,no,cellular,26,may,1,-1,0,unknown,yes
2807,27,blue-collar,single,secondary,no,3792,no,no,cellular,22,oct,1,183,2,success,yes
6802,25,admin.,single,secondary,no,120,yes,no,unknown,3,jun,1,-1,0,unknown,no
9728,28,management,single,tertiary,no,4013,yes,no,unknown,4,jun,1,-1,0,unknown,no
5336,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,1,-1,0,unknown,no
2902,52,unemployed,married,secondary,no,94,no,no,cellular,10,nov,3,190,10,failure,yes
8769,36,management,married,tertiary,no,3770,yes,no,cellular,31,jul,4,-1,0,unknown,no
4815,35,technician,divorced,secondary,no,84,yes,yes,cellular,6,may,1,-1,0,unknown,yes
4161,35,technician,married,tertiary,no,7050,no,no,cellular,10,feb,3,187,1,success,yes
10194,39,services,married,secondary,no,207,no,no,unknown,6,jun,2,-1,0,unknown,no
8825,33,services,married,secondary,no,22,yes,no,unknown,5,may,1,-1,0,unknown,no
3696,27,technician,single,secondary,no,337,no,no,unknown,9,jul,1,-1,0,unknown,yes
185,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1,-1,0,unknown,yes
8149,36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,1,91,11,failure,no
2890,53,admin.,married,secondary,no,10541,no,no,cellular,9,nov,1,-1,0,unknown,yes
864,34,self-employed,single,secondary,no,296,no,no,cellular,27,aug,13,-1,0,unknown,yes
6991,45,management,married,tertiary,no,80,no,yes,cellular,19,nov,1,-1,0,unknown,no
6169,49,services,married,secondary,no,280,yes,no,telephone,14,jul,3,-1,0,unknown,no
6963,46,blue-collar,married,primary,no,1303,no,no,cellular,4,aug,1,-1,0,unknown,no
9696,35,services,married,secondary,no,128,yes,no,cellular,12,may,1,-1,0,unknown,no
3268,52,admin.,single,unknown,no,2227,no,no,cellular,24,feb,2,-1,0,unknown,yes
3531,24,management,single,tertiary,no,1,no,no,cellular,14,may,5,-1,0,unknown,yes
2218,49,management,married,tertiary,no,5887,no,no,cellular,2,jun,3,293,2,failure,yes
345,46,services,divorced,secondary,no,0,no,no,unknown,20,jun,3,-1,0,unknown,yes
10307,37,unemployed,married,secondary,no,4769,no,no,cellular,29,jan,1,-1,0,unknown,no
352,27,blue-collar,single,secondary,yes,-27,no,no,unknown,23,jun,2,-1,0,unknown,yes
711,46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,3,-1,0,unknown,yes
6259,33,technician,married,tertiary,no,2976,yes,no,cellular,9,nov,2,95,12,other,no
4557,48,admin.,married,secondary,no,660,no,no,cellular,18,feb,1,561,2,success,yes
2596,70,retired,married,secondary,no,1853,no,no,telephone,26,aug,1,-1,0,unknown,yes
730,46,management,married,tertiary,no,4,no,no,cellular,8,aug,4,-1,0,unknown,yes
8828,35,management,single,tertiary,no,592,no,yes,unknown,14,may,1,-1,0,unknown,no
7754,39,self-employed,divorced,secondary,yes,-103,no,yes,unknown,5,jun,3,-1,0,unknown,no
5117,62,entrepreneur,married,secondary,no,3904,no,no,telephone,29,jan,2,-1,0,unknown,yes
8037,31,services,single,secondary,no,1629,yes,no,unknown,19,may,2,-1,0,unknown,no
10832,44,blue-collar,married,secondary,no,294,yes,no,unknown,19,may,2,-1,0,unknown,no
2871,60,retired,divorced,secondary,no,4243,no,no,cellular,30,oct,2,-1,0,unknown,yes
132,40,blue-collar,married,primary,no,278,yes,no,unknown,23,may,3,-1,0,unknown,yes
1338,52,management,married,tertiary,no,31,no,no,cellular,10,mar,1,-1,0,unknown,yes
476,32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,2,-1,0,unknown,yes
582,34,blue-collar,single,secondary,no,1759,no,yes,cellular,25,jul,1,-1,0,unknown,yes
5283,45,admin.,divorced,secondary,no,0,no,no,cellular,29,oct,1,-1,0,unknown,yes
7251,51,entrepreneur,married,primary,no,726,yes,yes,cellular,15,apr,2,-1,0,unknown,no
1976,54,management,divorced,tertiary,no,-449,yes,no,cellular,14,may,1,-1,0,unknown,yes
20,28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,2,-1,0,unknown,yes
9111,50,management,married,tertiary,no,19,no,yes,cellular,23,jul,1,-1,0,unknown,no
2227,29,management,single,tertiary,no,3846,no,no,cellular,3,jun,2,-1,0,unknown,yes
9904,33,services,single,tertiary,no,1595,yes,no,unknown,26,may,1,-1,0,unknown,no
3093,61,retired,married,secondary,no,86,no,no,cellular,25,jan,1,94,1,success,yes
10422,46,services,married,secondary,no,-522,yes,no,cellular,31,jul,2,-1,0,unknown,no
6688,32,blue-collar,divorced,unknown,no,291,yes,yes,unknown,27,jun,6,-1,0,unknown,no
2103,27,student,single,tertiary,no,3733,yes,no,cellular,22,may,1,98,6,success,yes
10840,32,blue-collar,married,primary,no,494,yes,no,unknown,26,may,2,-1,0,unknown,no
978,47,management,married,unknown,no,4189,yes,no,cellular,19,nov,3,-1,0,unknown,yes
6446,31,blue-collar,single,secondary,no,33,yes,no,unknown,15,may,4,-1,0,unknown,no
8281,42,management,married,tertiary,no,187,no,no,cellular,11,aug,1,-1,0,unknown,no
10516,32,services,married,secondary,no,1398,yes,yes,cellular,15,may,1,-1,0,unknown,no
11144,60,retired,married,secondary,no,0,yes,no,unknown,15,may,1,-1,0,unknown,no
1369,34,unemployed,married,secondary,no,978,no,no,cellular,24,mar,1,-1,0,unknown,yes
3844,45,admin.,married,secondary,no,476,no,no,cellular,6,aug,1,364,1,other,yes
7890,49,blue-collar,married,secondary,no,298,yes,no,cellular,3,feb,3,-1,0,unknown,no
10424,28,blue-collar,single,secondary,no,455,yes,no,cellular,11,jul,1,-1,0,unknown,no
846,46,management,single,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,yes
1118,47,management,single,tertiary,no,86,no,no,cellular,2,feb,1,-1,0,unknown,yes
4842,67,retired,divorced,secondary,no,704,no,no,cellular,6,may,1,87,3,success,yes
781,53,services,married,secondary,no,6170,no,no,cellular,13,aug,4,-1,0,unknown,yes
6839,22,student,single,tertiary,no,1161,no,yes,cellular,16,jun,1,-1,0,unknown,no
268,58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,jun,1,-1,0,unknown,yes
7930,34,management,married,tertiary,no,297,yes,no,cellular,26,aug,4,-1,0,unknown,no
7789,33,management,single,tertiary,no,369,no,no,cellular,25,aug,10,-1,0,unknown,no
7246,35,technician,married,tertiary,no,108,yes,no,cellular,31,jul,3,-1,0,unknown,no
8727,42,blue-collar,married,secondary,no,3,yes,no,unknown,14,may,1,-1,0,unknown,no
4504,35,management,married,tertiary,no,925,no,no,cellular,8,jun,4,-1,0,unknown,yes
9444,35,blue-collar,married,secondary,no,67,no,no,unknown,20,may,6,-1,0,unknown,no
3118,56,technician,married,tertiary,no,1181,no,no,cellular,28,jan,1,433,1,failure,yes
1463,33,admin.,single,secondary,no,572,yes,no,cellular,14,apr,1,74,2,failure,yes
4483,31,management,single,tertiary,no,533,no,no,cellular,11,feb,1,91,9,success,yes
7799,50,admin.,married,secondary,no,-195,no,no,cellular,22,aug,4,-1,0,unknown,no
9995,30,admin.,married,secondary,no,521,yes,no,cellular,19,nov,1,-1,0,unknown,no
1683,35,management,married,tertiary,no,193,yes,no,cellular,30,apr,1,13,1,failure,yes
1557,36,blue-collar,married,primary,no,1925,yes,no,cellular,20,apr,2,-1,0,unknown,yes
1793,30,blue-collar,married,secondary,no,61,yes,no,cellular,5,may,1,-1,0,unknown,yes
9594,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,jun,1,-1,0,unknown,no
3972,63,admin.,divorced,secondary,no,4680,no,no,cellular,15,sep,2,-1,0,unknown,yes
32,26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,1,-1,0,unknown,yes
11115,49,blue-collar,married,primary,no,67,no,yes,cellular,13,aug,4,-1,0,unknown,no
2304,35,blue-collar,married,primary,no,1177,no,no,cellular,8,jun,4,-1,0,unknown,yes
1822,31,management,single,tertiary,no,59,yes,yes,cellular,6,may,2,363,1,failure,yes
3656,23,services,single,secondary,no,488,no,no,cellular,29,jun,1,91,3,success,yes
2149,30,admin.,single,secondary,no,983,yes,no,cellular,27,may,2,-1,0,unknown,yes
423,30,services,married,secondary,no,5,no,yes,cellular,10,jul,5,-1,0,unknown,yes
5901,33,services,married,primary,no,6904,no,no,telephone,20,nov,2,-1,0,unknown,no
10464,44,admin.,married,unknown,no,40,no,yes,unknown,6,may,2,-1,0,unknown,no
2525,37,management,married,tertiary,no,1276,no,no,cellular,14,aug,2,-1,0,unknown,yes
218,27,management,single,secondary,no,178,yes,no,unknown,3,jun,2,-1,0,unknown,yes
10484,51,technician,married,secondary,no,2682,no,no,unknown,18,jun,1,-1,0,unknown,no
8821,40,blue-collar,married,primary,no,-388,yes,no,cellular,4,may,3,340,1,failure,no
9429,33,management,married,tertiary,no,5,yes,no,unknown,7,aug,1,-1,0,unknown,no
6762,53,blue-collar,married,secondary,no,913,yes,no,cellular,23,jul,1,-1,0,unknown,no
1841,31,admin.,single,secondary,no,0,yes,no,cellular,7,may,2,295,2,failure,yes
1982,31,blue-collar,single,secondary,no,953,yes,no,cellular,14,may,1,346,2,success,yes
5830,33,blue-collar,married,secondary,no,263,yes,no,unknown,21,may,3,-1,0,unknown,no
6033,54,blue-collar,married,primary,no,1895,yes,no,cellular,17,apr,1,-1,0,unknown,no
3904,34,management,married,tertiary,no,589,no,no,cellular,1,sep,1,44,3,other,yes
10952,32,technician,married,secondary,no,2556,no,no,cellular,6,aug,3,-1,0,unknown,no
10475,28,technician,single,secondary,no,922,yes,no,cellular,7,apr,1,-1,0,unknown,no
1667,42,technician,married,unknown,no,1559,no,no,cellular,30,apr,1,-1,0,unknown,yes
6792,32,technician,single,tertiary,no,2481,no,no,cellular,18,aug,11,-1,0,unknown,no
6295,55,admin.,divorced,secondary,no,1693,no,no,cellular,10,aug,1,102,3,success,no
3466,29,management,single,tertiary,no,2955,no,no,cellular,29,apr,2,-1,0,unknown,yes
1722,46,management,married,tertiary,no,699,no,no,cellular,30,apr,1,87,1,failure,yes
11146,30,admin.,married,secondary,yes,23,no,yes,cellular,4,feb,2,-1,0,unknown,no
7323,41,technician,single,secondary,no,30,no,no,unknown,23,may,1,-1,0,unknown,no
10795,49,entrepreneur,married,tertiary,no,313,yes,no,cellular,17,nov,2,188,2,failure,no
9694,49,blue-collar,married,primary,no,2356,no,yes,telephone,14,jul,2,-1,0,unknown,no
2355,32,services,single,secondary,no,2881,no,no,cellular,2,jul,1,-1,0,unknown,yes
6442,44,housemaid,married,secondary,no,192,no,no,unknown,11,jun,2,-1,0,unknown,no
3052,35,unemployed,married,secondary,no,978,no,no,cellular,29,dec,3,209,3,success,yes
649,53,blue-collar,married,primary,no,252,no,no,cellular,31,jul,4,-1,0,unknown,yes
9746,36,technician,single,secondary,no,35,no,no,cellular,29,aug,2,-1,0,unknown,no
6866,35,technician,married,tertiary,no,-269,yes,yes,cellular,14,may,4,-1,0,unknown,no
2599,72,retired,married,secondary,no,1129,no,no,cellular,26,aug,1,-1,0,unknown,yes
2649,36,services,married,secondary,no,52,yes,no,cellular,7,sep,1,95,6,success,yes
11157,33,blue-collar,single,primary,no,1,yes,no,cellular,20,apr,1,-1,0,unknown,no
6205,34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,nov,1,-1,0,unknown,no
9374,35,admin.,married,secondary,no,-488,yes,no,unknown,2,jun,4,-1,0,unknown,no
8688,45,blue-collar,married,secondary,no,226,no,no,telephone,4,feb,2,212,2,failure,no
4357,33,admin.,divorced,secondary,no,294,yes,no,cellular,8,may,1,-1,0,unknown,yes
8510,36,blue-collar,married,secondary,no,1088,yes,no,cellular,13,may,2,345,2,failure,no
7763,44,services,divorced,secondary,no,608,yes,yes,unknown,18,jun,30,-1,0,unknown,no
6804,31,admin.,married,secondary,no,3,yes,no,cellular,28,jul,12,-1,0,unknown,no
6954,37,management,single,tertiary,no,0,no,no,cellular,20,oct,1,258,3,other,no
9826,36,management,married,tertiary,no,539,no,no,cellular,11,aug,1,-1,0,unknown,no
10951,57,management,married,secondary,no,0,no,no,cellular,28,jan,1,-1,0,unknown,no
2509,32,management,single,tertiary,no,2465,no,no,cellular,13,aug,1,-1,0,unknown,yes
9246,45,blue-collar,married,primary,no,351,yes,no,unknown,19,jun,1,-1,0,unknown,no
4672,36,management,married,tertiary,no,93,no,no,cellular,12,jul,2,182,7,failure,yes
4273,60,retired,divorced,secondary,no,514,no,no,cellular,16,mar,1,124,9,other,yes
6198,30,admin.,single,secondary,no,186,yes,no,cellular,13,may,1,-1,0,unknown,no
4183,54,housemaid,single,secondary,no,1213,no,no,cellular,12,nov,1,-1,0,unknown,yes
586,51,unemployed,married,primary,no,1162,yes,no,cellular,25,jul,1,-1,0,unknown,yes
3115,36,management,married,tertiary,no,3949,no,no,cellular,28,jan,2,-1,0,unknown,yes
9257,36,blue-collar,married,secondary,no,153,yes,no,cellular,8,may,1,171,2,failure,no
3413,44,services,married,primary,no,2557,yes,no,cellular,14,apr,1,181,8,success,yes
7700,43,management,married,tertiary,no,0,yes,no,cellular,21,jul,1,-1,0,unknown,no
1466,36,services,single,secondary,no,-253,yes,no,cellular,14,apr,1,-1,0,unknown,yes
9852,31,admin.,single,secondary,no,-422,yes,no,cellular,18,may,2,329,15,other,no
8802,34,admin.,married,secondary,no,260,no,no,cellular,28,jan,1,-1,0,unknown,no
5572,35,management,single,tertiary,no,1750,yes,no,cellular,22,oct,1,175,4,success,no
8048,49,entrepreneur,married,tertiary,no,384,no,no,unknown,11,jun,1,-1,0,unknown,no
9789,53,housemaid,married,secondary,no,1182,yes,no,cellular,7,sep,1,293,1,failure,no
4955,24,technician,married,secondary,no,556,yes,no,cellular,18,aug,2,-1,0,unknown,yes
4326,45,management,married,tertiary,no,226,yes,no,cellular,13,aug,6,179,10,success,yes
3184,36,student,single,unknown,no,417,no,no,cellular,10,feb,1,-1,0,unknown,yes
4849,28,management,single,tertiary,no,2725,no,no,cellular,16,jun,1,504,1,failure,yes
7064,31,management,married,tertiary,no,927,no,no,cellular,18,aug,4,-1,0,unknown,no
1049,48,housemaid,married,primary,no,7195,no,no,cellular,21,nov,2,-1,0,unknown,yes
9580,28,services,single,secondary,no,159,yes,no,telephone,12,may,2,-1,0,unknown,no
10469,45,management,divorced,tertiary,no,2406,no,no,cellular,8,aug,2,-1,0,unknown,no
10495,36,services,married,secondary,no,145,yes,no,cellular,2,feb,1,252,2,other,no
6132,32,technician,single,secondary,no,12,no,no,cellular,7,aug,2,-1,0,unknown,no
5439,41,blue-collar,married,secondary,no,849,yes,yes,cellular,12,may,4,-1,0,unknown,no
